Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 10:17:00,PST,1.72,5.4967,4.425,2.9267,3.195,2.3,2.61,2.3433,2.825,2.1533
2018/12/10 10:18:00,PST,2.0083,5.5517,5.64,2.6717,2.51,2.0883,2.6983,2.0267,3.1583,2.0217
2018/12/10 10:19:00,PST,3.1083,4.12,2.195,3.5717,2.7783,4.2217,2.9133,2.065,2.3133,2.1467
2018/12/10 10:20:00,PST,10.3467,5.5533,4.2233,2.9967,2.545,2.1917,2.8683,2.0883,4.0733,2.2583
2018/12/10 10:21:00,PST,12.5167,4.3783,3.91,4.4817,2.5367,2.6033,2.9483,2.0833,2.8767,2.0883
2018/12/10 10:22:00,PST,4.99,4.7,4.455,3.725,2.415,2.5683,4.0067,2.3183,3.71,2.18
2018/12/10 10:23:00,PST,10.7883,4.1383,3.99,2.3233,2.745,4.645,2.9033,2.23,2.9017,1.9733
2018/12/10 10:24:00,PST,16.08,6.125,2.44,4.17,2.4917,2.0617,3.35,1.995,3.0867,2.13
2018/12/10 10:25:00,PST,6.61,4.7633,4.3983,2.8333,3.075,2.045,2.8183,2.0383,2.82,2.26
2018/12/10 10:26:00,PST,17.585,4.2683,4.7017,3.285,2.54,2.3767,3.2367,2.2,2.3183,2.2283
2018/12/10 10:27:00,PST,15.115,6.57,3.8867,3.0667,2.4867,2.3133,3.2867,2.1317,2.5067,1.9683
2018/12/10 10:28:00,PST,8.4517,5.36,3.7833,2.395,2.6217,5.6367,2.9483,2.0067,2.0217,1.875
2018/12/10 10:29:00,PST,17.25,6.8633,2.66,5.8217,2.6283,2.4683,2.9783,2.2567,3.6433,2.0317
2018/12/10 10:30:00,PST,13.6617,3.71,4.345,2.96,2.6117,2.8933,2.8367,2.0,3.1917,2.21
2018/12/10 10:31:00,PST,6.6217,5.54,2.7333,3.1883,2.72,2.8617,3.015,2.4283,2.9067,2.085
2018/12/10 10:32:00,PST,1.7933,3.7783,3.9267,4.5033,3.3667,5.31,2.8117,2.5717,2.555,2.1367
2018/12/10 10:33:00,PST,2.1933,3.8667,3.445,2.8383,2.4733,3.02,2.7433,2.54,2.7783,2.21
2018/12/10 10:34:00,PST,15.6833,3.9867,5.2983,4.385,2.6583,2.5183,2.6467,2.555,3.37,2.1083
