"Time","tz","prod16.dc4","prod08.ld5","prod11.dc4","prod50.dc4","prod40.la3","prod34.dc4","prod14.dc4","prod81.dc4","prod41.la3","prod76.dc4"
2018/12/08 18:54:00,PST,2.7417,2.4525,3.2967,1.555,2.3917,1.555,2.26,1.8233,1.7917,1.895
2018/12/08 18:57:00,PST,5.777233333333332,3.1491666666666664,3.051133333333334,2.168333333333333,2.5339000000000005,1.7722,2.2594666666666665,1.8488999999999998,1.9339000000000002,2.0027666666666666
2018/12/08 19:00:00,PST,4.573333333333333,2.6300666666666666,3.0522333333333336,2.9466666666666668,2.38,2.475,2.395,2.1194666666666664,2.1855333333333333,2.112766666666667
2018/12/08 19:03:00,PST,4.522766666666667,2.9527666666666668,3.3833333333333333,3.565,2.5705666666666667,2.0744666666666665,2.4189000000000003,2.2011,2.1894333333333336,2.0228
2018/12/08 19:06:00,PST,7.9389,2.439833333333334,3.0666666666666664,2.6605666666666665,2.6911,1.9072333333333333,2.3427666666666664,2.2121999999999997,2.0661,1.9405666666666666
2018/12/08 19:09:00,PST,4.3339,2.7166666666666663,3.0488666666666666,2.3111,2.7828,1.8955666666666666,2.170533333333333,2.2777666666666665,1.9527666666666665,1.9866666666666666
2018/12/08 19:12:00,PST,4.704999999999999,2.7822,2.9655666666666662,1.4283333333333335,2.8833333333333333,1.7067000000000003,2.2249999999999996,2.3044666666666664,1.9883333333333333,2.1138999999999997
2018/12/08 19:15:00,PST,7.4511,2.3729333333333336,3.1622333333333335,2.63,2.532766666666667,2.1605333333333334,2.197766666666667,2.275533333333333,2.059466666666667,2.015
2018/12/08 19:18:00,PST,4.513366666666666,2.7761333333333336,3.1439000000000004,2.5183,2.614433333333333,2.060566666666667,2.1161,1.9555666666666667,2.0083333333333333,1.9839
2018/12/08 19:21:00,PST,7.359999999999999,2.4955666666666665,3.492766666666667,2.427766666666667,2.4267,1.8827666666666667,2.26,2.1944333333333335,1.9355666666666667,1.9911333333333332
2018/12/08 19:24:00,PST,3.9922333333333335,2.680033333333333,3.3372333333333337,2.4916666666666667,2.3161,1.7383333333333333,2.2261333333333333,2.0116666666666667,2.006133333333333,1.9733333333333334
2018/12/08 19:27:00,PST,5.421666666666667,2.5671999999999997,2.649466666666667,2.9838666666666662,2.4155666666666664,2.0655666666666668,2.4594333333333336,1.9611333333333334,1.9860999999999998,2.0216666666666665
2018/12/08 19:30:00,PST,7.022200000000001,2.6622333333333335,2.9394333333333336,3.019433333333333,2.3933333333333335,2.936666666666667,2.105,2.1561,1.9816666666666667,2.0178
2018/12/08 19:33:00,PST,4.7983,2.091666666666667,3.2433333333333336,2.9233333333333333,2.3966999999999996,2.0505333333333335,2.1427666666666667,2.1844333333333332,1.9505666666666668,2.1155666666666666
2018/12/08 19:36:00,PST,7.759433333333334,2.6350333333333333,2.5455666666666663,3.7433666666666667,2.3594333333333335,1.9505666666666668,2.2694666666666667,2.2616666666666667,1.8922333333333334,1.9422
2018/12/08 19:39:00,PST,4.650566666666666,2.495,2.8039,2.3266666666666667,2.4222333333333332,1.89,2.1522,2.2394333333333334,1.9705666666666666,2.08
2018/12/08 19:42:00,PST,4.530833333333334,3.0239,2.8628,2.1233333333333335,2.4899999999999998,2.2922,2.1833333333333336,2.275,1.911266666666667,1.9339000000000002
2018/12/08 19:45:00,PST,7.583166666666666,2.8894333333333333,2.938333333333334,2.3249666666666666,2.295,2.1711,2.5511,2.2039,2.3955333333333333,2.0178
2018/12/08 19:48:00,PST,4.3194333333333335,2.1233333333333335,2.6172333333333335,2.973333333333334,2.5955666666666666,1.9599999999999997,2.2494666666666667,1.9055333333333335,2.006666666666667,1.9316666666666666
2018/12/08 19:51:00,PST,6.840566666666667,2.545,2.8866666666666667,2.5416666666666665,2.614433333333334,2.0410999999999997,2.0739,1.9122000000000001,2.07,1.9516666666666669
2018/12/08 19:54:00,PST,4.830000000000001,2.0555666666666665,3.7610999999999994,2.3633333333333333,2.3499999999999996,2.2289,2.3316666666666666,2.0611,1.998866666666667,1.8783333333333332
2018/12/08 19:57:00,PST,4.9816666666666665,2.6128,3.0172666666666665,1.5916666666666668,2.459433333333333,2.1728,2.1750000000000003,1.9608999999999999,1.9649999999999999,2.020566666666667
2018/12/08 20:00:00,PST,4.751666666666666,2.0600333333333336,2.9705,2.813333333333333,2.3938666666666664,2.3222333333333336,2.390566666666667,2.1166,2.2122333333333333,1.965
2018/12/08 20:03:00,PST,7.840566666666667,2.5639000000000003,2.9569666666666667,2.7033,2.617766666666667,2.3705666666666665,2.1611000000000002,2.1718333333333333,2.192766666666667,2.109433333333333
2018/12/08 20:06:00,PST,5.071666666666666,2.2344333333333335,3.6001,1.894466666666667,2.5627666666666666,1.9444666666666668,2.1439000000000004,2.7453333333333334,1.9616999999999998,1.9338666666666668
2018/12/08 20:09:00,PST,4.672233333333334,2.6733333333333333,2.972766666666667,2.3344666666666667,2.8661,2.0189,2.2633,2.3550333333333335,1.9060999999999997,1.9783333333333335
2018/12/08 20:12:00,PST,7.648333333333333,2.638333333333333,2.6940666666666666,1.5283666666666667,2.790533333333333,1.882233333333333,2.105,2.2486,1.8160999999999998,2.0872333333333333
2018/12/08 20:15:00,PST,4.4639,3.2233,2.5265666666666666,2.6750000000000003,2.4438999999999997,1.8655666666666668,2.2872333333333335,2.3321333333333336,2.3039,2.025
2018/12/08 20:18:00,PST,7.435533333333335,2.4039,3.387233333333333,2.2855666666666665,2.5749999999999997,1.9766666666666666,2.090566666666667,1.913433333333333,1.9928000000000001,2.0416666666666665
