Time,,prod08.ld5,prod11.dc4,prod34.dc4,prod16.dc4,prod50.dc4,prod40.la3,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/03 19:23:00,PST,5.27835,3.564966666666667,2.0932999999999997,1.5283666666666667,4.883866666666667,2.8861333333333334,2.6289000000000002,2.493866666666667,2.2144333333333335,2.3478
2018/12/03 19:34:00,PST,5.755154545454545,4.381209090909091,2.600918181818182,1.4683363636363636,3.887881818181818,2.6825636363636365,2.5649909090909087,2.3212181818181823,1.9730272727272729,2.2495454545454545
2018/12/03 19:45:00,PST,5.228036363636364,4.001063636363636,2.464872727272727,1.4363636363636365,3.457890909090909,2.6854545454545455,2.6878727272727274,2.2007454545454546,2.0392272727272727,2.267718181818182
2018/12/03 19:56:00,PST,5.485763636363637,3.904081818181818,3.513045454545455,1.5672818181818184,4.28210909090909,2.9071181818181815,2.6443818181818184,2.301672727272727,1.7927363636363636,2.4851545454545456
2018/12/03 20:07:00,PST,5.358027272727273,4.1941,3.3151454545454544,1.4766636363636365,2.8181727272727275,2.963818181818182,2.557427272727273,2.2921363636363634,1.817718181818182,2.279827272727273
2018/12/03 20:18:00,PST,5.003636363636363,4.016509090909091,2.517263636363636,1.511209090909091,3.122272727272728,2.8742,2.6230272727272728,2.0860636363636362,1.9683272727272725,2.2404454545454544
2018/12/03 20:29:00,PST,4.9154636363636355,4.075009090909091,4.142572727272727,1.5134818181818182,6.114181818181819,2.7842363636363636,2.6748454545454545,2.284536363636364,1.9980363636363634,2.336227272727273
2018/12/03 20:40:00,PST,4.3341,4.2038,2.432881818181819,1.4928818181818182,5.180600000000001,2.696063636363636,2.5894,2.2286181818181814,2.0095272727272726,2.3658999999999994
2018/12/03 20:51:00,PST,4.018627272727273,4.1706,2.2654454545454543,1.802427272727273,4.003036363636363,2.9003,2.5713545454545454,2.0315,2.018490909090909,2.2587818181818182
2018/12/03 21:02:00,PST,4.5365,4.549099999999999,2.4845454545454544,1.6670181818181817,3.4434727272727272,3.0858999999999996,2.6339454545454544,2.5039454545454545,2.2772636363636365,2.3703000000000003
2018/12/03 21:13:00,PST,4.159854545454545,4.428027272727273,2.761663636363636,1.5471181818181818,2.4656727272727275,2.992118181818182,2.6203181818181815,2.122881818181818,2.1334727272727276,2.2512181818181816
2018/12/03 21:24:00,PST,4.635609090909091,3.8316636363636363,2.518036363636364,1.610309090909091,2.9436363636363634,2.7787818181818182,2.6598636363636365,2.1069727272727277,1.9139363636363633,2.288181818181818
2018/12/03 21:35:00,PST,4.959554545454545,3.8968181818181815,2.740763636363636,1.5986363636363636,2.530818181818182,2.6936363636363634,2.6541090909090905,2.3572818181818183,1.9260636363636365,2.2681818181818185
2018/12/03 21:46:00,PST,5.220609090909091,4.124700000000001,2.5736272727272724,1.5753,2.355163636363636,2.9201545454545457,2.5303,2.0965090909090907,1.8465181818181824,2.198027272727273
2018/12/03 21:57:00,PST,4.540772727272728,4.292572727272727,3.0607545454545457,1.6557727272727272,3.2825909090909096,2.8643909090909094,2.595618181818182,2.395,1.913318181818182,2.5154454545454548
2018/12/03 22:08:00,PST,4.2163545454545455,3.7928545454545453,3.039845454545454,1.6119727272727273,2.983990909090909,3.226836363636364,2.5507545454545455,2.3709000000000002,1.939090909090909,2.299081818181818
2018/12/03 22:19:00,PST,4.995309090909092,3.8743909090909097,2.7098545454545455,1.6516727272727272,2.4230727272727277,2.766209090909091,2.627718181818182,2.213790909090909,1.8946909090909088,2.244690909090909
2018/12/03 22:30:00,PST,4.210918181818181,3.5934727272727263,2.544845454545455,1.654090909090909,2.98409090909091,2.751818181818182,2.527581818181818,2.475154545454545,2.1145545454545456,2.252872727272727
2018/12/03 22:41:00,PST,4.5181818181818185,3.7697,2.6916545454545453,1.6389272727272728,2.435481818181818,2.816809090909091,2.5868181818181815,2.307736363636364,2.1765090909090907,2.3511545454545453
2018/12/03 22:52:00,PST,4.496372727272727,3.903027272727273,2.867727272727273,1.7218090909090906,2.857436363636364,2.697427272727273,2.577118181818182,2.0697,2.1397000000000004,2.2809090909090908
2018/12/03 23:03:00,PST,4.773190909090909,3.5887727272727274,3.6355909090909098,1.6989545454545456,2.771990909090909,3.034709090909091,2.6268181818181815,2.468627272727273,2.4136454545454544,2.315145454545454
2018/12/03 23:14:00,PST,4.8333272727272725,3.4572909090909096,2.8786363636363634,1.6822636363636363,2.4474,2.850763636363636,2.612563636363636,2.0614999999999997,1.8410636363636363,2.3009
2018/12/03 23:25:00,PST,4.8575727272727285,3.4865090909090912,2.625918181818182,1.6983454545454544,2.7626545454545455,2.7348545454545454,2.5360636363636364,2.109245454545454,1.8272636363636365,2.233490909090909
2018/12/03 23:36:00,PST,4.600763636363636,3.389836363636364,2.4530363636363637,1.670909090909091,2.375909090909091,2.8598454545454546,2.598636363636363,2.306809090909091,1.9436363636363638,2.2344000000000004
2018/12/03 23:47:00,PST,4.861818181818182,3.7007636363636367,2.414081818181818,1.652727272727273,2.7384363636363633,2.6662272727272724,2.5022727272727274,2.0163545454545453,2.0171363636363635,2.2531636363636363
2018/12/03 23:58:00,PST,4.819090909090909,3.617263636363636,2.85,1.7036272727272725,2.6527545454545454,2.8904545454545456,2.6186363636363637,2.2648454545454544,1.9351454545454545,2.485763636363636
2018/12/04 00:09:00,PST,5.2181727272727265,3.5247,3.1371272727272728,1.6780181818181816,1.8569727272727272,3.103772727272727,2.704554545454545,2.2294,2.1163545454545454,2.2445545454545455
2018/12/04 00:20:00,PST,4.586827272727273,3.6668272727272733,2.718790909090909,1.6656,3.064172727272727,2.7643909090909093,2.5398545454545456,1.9080454545454548,2.1271272727272725,2.2542363636363643
2018/12/04 00:31:00,PST,4.4397,3.2251636363636362,3.0097000000000005,1.7142363636363636,2.989709090909091,3.136363636363637,2.552427272727273,2.387881818181818,2.109390909090909,2.2705
2018/12/04 00:42:00,PST,4.569399999999999,3.4058999999999995,2.928318181818182,1.6565181818181818,2.3130363636363636,2.6797,2.641054545454546,2.1422818181818184,2.1422818181818184,2.296072727272727
2018/12/04 00:53:00,PST,4.706663636363636,3.862427272727272,2.555763636363636,1.6280181818181818,2.3057454545454545,2.7593818181818186,2.597572727272727,2.037272727272727,1.8407545454545455,2.343954545454545
